State,Year,numschools offering,Total num,yield per teacher,diff from prev year,percentincrease,numpassed,percent passed,numfemale,numfemale passed,percentage female passed,percent female,numBlack,numBlack Passed,percent Black passed,percent Black,numBlack Males,numBlack Males passed,percent Black Male passed,numBlack Females,numBlack Females passed,percentBlack Females passed,numHispanic,numHispanic passed,percentHispanic passed,numHispanic Females,numHispanic Females passed,percentH females passed,percentHispanic,numHispanic males,numHispanic males passed,percent Hismalepassed,numwhite ,numwhite passed,percentwhite pass,numwhite males,numwhite females,numasian,numasian passed,percentasian passed,numAsian Male,numAsian Female
National,2006,,14108,,,,8227,58.31443153,2495,1251,50.14028056,17.68500142,668,154,23.05389222,4.734902183,468,125,26.70940171,200,29,14.5,1079,389,36.05189991,220,58,26.36363636,7.648142898,859,331,38.53317811,8240,5224,63.39805825,7081,1159,2846,1733,60.89248067,2178,668
National,2007,,14529,,421,2.984122484,8184,56.32872187,2665,1262,47.35459662,18.34262509,640,127,19.84375,4.404983137,437,102,23.3409611,203,25,12.31527094,1077,377,35.00464253,250,58,23.2,7.412760686,827,319,38.57315599,8516,5191,60.95584782,7333,1183,3319,1984,59.77704128,2474,845
National,2008,1778,15014,8.44431946,485,3.338151284,8537,56.86026375,2789,1450,51.98996056,18.57599574,673,167,24.81426449,4.482483016,454,123,27.09251101,219,44,20.0913242,1142,398,34.85113835,223,50,22.42152466,7.606234181,919,348,37.86724701,8757,5359,61.19675688,7453,1304,3556,2169,60.99550056,2697,859
National,2009,1879,16061,8.547631719,1047,6.973491408,9925,61.79565407,3096,1724,55.68475452,19.27650831,778,177,22.75064267,4.844032128,538,141,26.20817844,240,36,15,1208,450,37.25165563,281,43,15.3024911,7.521324949,927,407,43.90507012,9064,6054,66.79170344,7725,1339,3979,2645,66.47398844,2963,1016
National,2010,2048,19390,9.467773438,3329,20.72722745,12550,64.72408458,3726,2201,59.07139023,19.21609077,825,224,27.15151515,4.2547705,577,173,29.98266898,248,51,20.56451613,1466,610,41.60982265,298,92,30.87248322,7.560598247,1168,518,44.34931507,10556,7237,68.55816597,8938,1618,5131,3625,70.6489963,3842,1289
National,2011,1972,21139,10.71957404,1749,9.020113461,13463,63.6879701,4000,2302,57.55,18.92237097,893,283,31.69092945,4.22441932,671,240,35.76751118,222,43,19.36936937,1752,652,37.21461187,364,91,25,8.287998486,1388,561,40.41786744,11252,7633,67.83682901,9604,1648,5914,4109,69.47920189,4430,1484
National,2012,2103,24782,11.78411793,3643,17.23354936,15678,63.26365911,4635,2616,56.44012945,18.70309095,1014,277,27.31755424,4.091679445,762,231,30.31496063,252,46,18.25396825,1919,764,39.81240229,431,115,26.68213457,7.743523525,1488,649,43.6155914,13320,8846,66.41141141,11344,1976,6869,4802,69.90828359,5219,1650
National,2013,2253,29555,13.1180648,4773,19.25994674,19760,66.85839959,5485,3405,62.07839562,18.55861952,1090,388,35.59633028,3.688039249,826,317,38.37772397,264,71,26.89393939,2408,1085,45.05813953,488,153,31.35245902,8.14752157,1920,932,48.54166667,16059,11119,66.41141141,13711,2348,8475,6178,69.90828359,6403,2072
Alabama,2006,,20,,,,18,90,1,*,*,5,0,0,0,0,0,0,0,0,0,0,1,*,*,0,0,0,5,,,,,,,,,,,,,
Alabama,2007,,27,,7,35,20,74.07407407,3,*,*,11.11111111,3,*,*,11.11111111,2,*,*,1,*,*,0,0,0,0,0,0,0,,,,,,,,,,,,,
